IdSensore,Tipologia,Unità.DiMisura,IdStazione,NomeStazione,Quota,Provincia,DataStart,DataStop,Storico,lng,lat,NomeProvincia
8584,Temperatura,°C,999,Laveno-Mombello Poggio S.Elsa,950,VA,23/06/1999,,N,8.63818571,45.91099372,Varese
19376,Umidità Relativa,%,1651,Morbegno eliporto,230,SO,23/09/2016,,N,9.58432198,46.13664246,Sondrio
10552,Umidità Relativa,%,554,Saronno v.Santuario,212,VA,06/07/2010,,N,9.02640138,45.62735705,Varese
9099,Precipitazione,mm,1235,Cene Ponte,361,BG,01/01/2012,,N,9.8215332,45.78420692,Bergamo
2460,Umidità Relativa,%,134,Corzano Bargnano,93,BS,03/05/1998,,N,10.03902737,45.43372847,Brescia
32238,Umidità Relativa,%,856,Fortunago,501,PV,01/08/2016,,N,9.19499417,44.91250111,Pavia
41,Precipitazione,mm,28,Chiesa in Valmalenco Alpe Entova,1905,SO,28/10/1989,,N,9.83412892,46.32141817,Sondrio
32394,Umidità Relativa,%,1555,Manerba del Garda Dusano,73,BS,17/11/2017,,N,10.56663509,45.543701,Brescia
14499,Precipitazione,mm,1371,Brembilla,468,BG,19/03/2013,,N,9.60925258,45.81475229,Bergamo
14365,Precipitazione,mm,1359,Breno Lago Della Vacca,2410,BS,09/12/2012,,N,10.4427287,45.95749967,Brescia
4017,Temperatura,°C,142,Caiolo,274,SO,24/05/2002,,N,9.79251888,46.15492316,Sondrio
14205,Altezza Neve,cm,1343,Lanzada Passo Marinelli,3032,SO,13/10/2012,,N,9.91515411,46.34981046,Sondrio
32250,Umidità Relativa,%,876,Caino,428,BS,01/08/2016,,N,10.32222392,45.60972056,Brescia
9021,Temperatura,°C,1234,Osnago,234,LC,01/01/2004,,N,9.38855728,45.6777065,Lecco
14194,Temperatura,°C,1342,Ponte in Valtellina Lago Reguzzo,2440,SO,13/10/2012,,N,9.96999939,46.09651358,Sondrio
10773,Umidità Relativa,%,35,Caspoggio Piazzo Cavalli,1719,SO,13/02/2021,,N,9.870887,46.249872,Sondrio
2404,Radiazione Globale,W/m²,129,Capo di Ponte v.Briscioli,362,BS,12/09/2003,,N,10.3425026,46.02656354,Brescia
8014,Altezza Neve,cm,833,Gerola Alta Pescegallo,1875,SO,01/01/1992,,N,9.57112074,46.0261969,Sondrio
17459,Precipitazione,mm,1872,Lasnigo s.Alessandro,554,CO,26/09/2018,,N,9.26121361,45.88564351,Como
19283,Umidità Relativa,%,1513,Introbio al bivio,574,LC,22/06/2018,,N,9.4507999,45.966301,Lecco
8103,Precipitazione,mm,851,Treviso Bresciano Cavacca,1147,BS,01/01/1998,,N,10.49916675,45.72416486,Brescia
9040,Altezza Neve,cm,1216,Valbondione,1784,BG,01/01/2004,,N,10.03860694,46.06456797,Bergamo
9097,Precipitazione,mm,1216,Valbondione,1784,BG,01/12/2000,,N,10.03860694,46.06456797,Bergamo
32244,Umidità Relativa,%,885,Arcisate,383,VA,01/08/2016,,N,8.89055144,45.84610806,Varese
19364,Umidità Relativa,%,1559,Dervio v.S.Cecilia,198,LC,05/07/2016,,N,9.30538273,46.06896591,Lecco
8164,Temperatura,°C,859,Luino v. Piero Chiara,205,VA,05/07/2000,,N,8.74272325,46.00414283,Varese
2096,Temperatura,°C,107,Sondrio Fond.Fojanini,307,SO,29/01/2001,,N,9.85094015,46.16755337,Sondrio
14661,Precipitazione,mm,1382,Veddasca Monte Cadrigna,1302,VA,19/07/2013,,N,8.76881513,46.07182708,Varese
