IdSensore,Data,Valore,Stato
5876,2024-02-08,0,VA
5876,2024-02-09,38.4,VA
5876,2024-02-10,13.6,VA
5876,2024-02-11,4.2,VA
5876,2024-02-12,0,VA
5876,2024-02-13,0,VA
5876,2024-02-14,0,VA
5876,2024-02-15,0,VA
5876,2024-02-16,0,VA
5876,2024-02-17,0,VA
5876,2024-02-18,0,VA
5876,2024-02-19,0,VA
5876,2024-02-20,0,VA
5876,2024-02-21,0,VA
5876,2024-02-22,14.8,VA
5876,2024-02-23,28,VA
5876,2024-02-24,10,VA
5876,2024-02-25,4.4,VA
5876,2024-02-26,9.2,VA
5876,2024-02-27,23,VA
5876,2024-02-28,1.6,VA
5876,2024-02-29,1,VA
5876,2024-03-01,15.8,VA
5876,2024-03-02,4.2,VA
5876,2024-03-03,2.2,VA
5876,2024-03-04,0,VA
5876,2024-03-05,8,VA
5876,2024-03-06,1,VA
5876,2024-03-07,0,VA
5876,2024-03-08,0,VA
5876,2024-03-09,1,VA
5876,2024-03-10,37.8,VA
5876,2024-03-11,0.2,VA
5876,2024-03-12,0,VA
5876,2024-03-13,0,VA
5876,2024-03-14,0,VA
5876,2024-03-15,0,VA
5876,2024-03-16,0,VA
5876,2024-03-17,0,VA
5876,2024-03-18,0,VA
5876,2024-03-19,0,VA
5876,2024-03-20,0,VA
5876,2024-03-21,0,VA
5876,2024-03-22,0,VA
5876,2024-03-23,0,VA
5876,2024-03-24,0,VA
5876,2024-03-25,0,VA
5876,2024-03-26,0,VA
5876,2024-03-27,0,VA
5876,2024-03-28,0,VA
5876,2024-03-29,0,VA
5876,2024-03-30,0.2,VA
5876,2024-03-31,0,VA
5876,2024-04-01,0,VA
5876,2024-04-02,0,VA
5876,2024-04-03,3.4,VA
5876,2024-04-04,0,VA
5876,2024-04-05,0,VA
5876,2024-04-06,0,VA
5876,2024-04-07,0,VA
5876,2024-04-08,0,VA
5876,2024-04-09,19.6,VA
5876,2024-04-10,1.6,VA
5876,2024-04-11,0,VA
5876,2024-04-12,0,VA
5876,2024-04-13,0,VA
5876,2024-04-14,0,VA
5876,2024-04-15,0,VA
5876,2024-04-16,0,VA
5876,2024-04-17,0,VA
5876,2024-04-18,0,VA
5876,2024-04-19,0,VA
5876,2024-04-20,0,VA
5876,2024-04-21,0,VA
5876,2024-04-22,0,VA
5876,2024-04-23,0,VA
5876,2024-04-24,0,VA
5876,2024-04-25,0,VA
5876,2024-04-26,0,VA
5876,2024-04-27,0,VA
5876,2024-04-28,10.6,VA
5876,2024-04-29,0.2,VA
5876,2024-04-30,0,VA
5876,2024-05-01,3.6,VA
5876,2024-05-02,10.2,VA
5876,2024-05-03,17.2,VA
5876,2024-05-04,0.4,VA
5876,2024-05-05,0,VA
5876,2024-05-06,4.2,VA
5876,2024-05-07,5.2,VA
5876,2024-05-08,3.4,VA
5876,2024-05-09,0,VA
5876,2024-05-10,0,VA
5876,2024-05-11,0,VA
5876,2024-05-12,7.8,VA
5876,2024-05-13,10.8,VA
5876,2024-05-14,4.8,VA
5876,2024-05-15,32.6,VA
5876,2024-05-16,31,VA
5876,2024-05-17,0.8,VA
5876,2024-05-18,0,VA
5876,2024-05-19,0,VA
5876,2024-05-20,2,VA
5876,2024-05-21,10.8,VA
5876,2024-05-22,0.2,VA
5876,2024-05-23,9,VA
5876,2024-05-24,1,VA
5876,2024-05-25,12.4,VA
5876,2024-05-26,0,VA
5876,2024-05-27,1.8,VA
5876,2024-05-28,0.2,VA
5876,2024-05-29,0,VA
5876,2024-05-30,20.6,VA
5876,2024-05-31,4.8,VA
5933,2023-06-01,0,VA
5933,2023-06-02,0,VA
5933,2023-06-03,0.2,VA
5933,2023-06-04,31.8,VA
5933,2023-06-05,2,VA
5933,2023-06-06,0,VA
5933,2023-06-07,13.2,VA
5933,2023-06-09,0,VA
5933,2023-06-10,0,VA
5933,2023-06-11,1.8,VA
5933,2023-06-12,0.2,VA
5933,2023-06-13,4.2,VA
5933,2023-06-14,13.8,VA
5933,2023-06-15,0.6,VA
5933,2023-06-16,0,VA
5933,2023-06-17,0,VA
5933,2023-06-18,0,VA
5933,2023-06-19,0,VA
5933,2023-06-20,0,VA
5933,2023-06-21,0,VA
5933,2023-06-22,0,VA
5933,2023-06-23,0,VA
5933,2023-06-24,0,VA
5933,2023-06-25,0,VA
5933,2023-06-26,0,VA
5933,2023-06-27,0,VA
5933,2023-06-28,0,VA
5933,2023-06-29,5,VA
5933,2023-06-30,10.8,VA
5933,2023-07-01,0.6,VA
5933,2023-07-02,0,VA
5933,2023-07-03,7.4,VA
5933,2023-07-04,28,VA
5933,2023-07-05,0.2,VA
5933,2023-07-06,103,VA
5933,2023-07-07,0,VA
5933,2023-07-08,2,VA
5933,2023-07-09,0,VA
5933,2023-07-10,0,VA
5933,2023-07-11,0,VA
5933,2023-07-12,28.2,VA
5933,2023-07-13,0,VA
5933,2023-07-14,3,VA
5933,2023-07-15,0.4,VA
5933,2023-07-16,0,VA
5933,2023-07-17,0,VA
5933,2023-07-18,0,VA
5933,2023-07-19,0.4,VA
5933,2023-07-20,0,VA
5933,2023-07-21,15,VA
5933,2023-07-22,0,VA
5933,2023-07-23,0,VA
5933,2023-07-24,53.4,VA
5933,2023-07-25,7.6,VA
5933,2023-07-26,0,VA
5933,2023-07-27,0,VA
5933,2023-07-28,0,VA
5933,2023-07-29,20.8,VA
5933,2023-07-30,5.8,VA
5933,2023-07-31,0,VA
5933,2023-08-01,0,VA
5933,2023-08-02,0,VA
